recon_loss,KL,disnt_basal,disnt_after,r2_mean,r2_var,adv_loss,penalty_adv,adv_perts,acc_perts,penalty_perts,epoch,mode
3096.310576386504,,0.0,0.0,0.12488438441203191,0.17753730344248345,1.5002224170244658,0.08814311241731047,1.5002224170244658,0.33025441212313517,0.08814311241731047,0,train
2352.860783503606,,0.0,0.0,0.48673607831472876,0.1789444814671527,1.2513807095014131,0.02084003317480286,1.2513807095014131,0.5125159788262713,0.02084003317480286,1,train
2206.2955577137704,,0.0,0.0,0.604023892407889,0.09405596216956337,1.1296851982127178,0.014585990319028496,1.1296851982127178,0.5638125332502218,0.014585990319028496,2,train
2160.610091324691,,0.0,0.0,0.6771846010134771,0.10168258305434343,1.0276275820784517,0.011417719147478541,1.0276275820784517,0.6099012530112005,0.011417719147478541,3,train
2141.1852356627746,,0.0,0.0,0.724972848708813,0.10920894945060815,0.9636540917249826,0.008724297156247,0.9636540917249826,0.6356515432452108,0.008724297156247,4,train
2130.0960827502577,,0.0,0.0,0.7532047312338275,0.1484117295715835,0.9204243827652145,0.0067884060166155296,0.9204243827652145,0.6517864105465648,0.0067884060166155296,5,train
2122.5945508349073,,0.0,0.0,0.7740374500934893,0.17938259695912454,0.8982287167192815,0.005543545354157686,0.8982287167192815,0.666000294816363,0.005543545354157686,6,train
2117.506601186899,,0.0,0.0,0.7896645390070401,0.2317046200836098,0.88048396726231,0.0047314716464219,0.88048396726231,0.6755886641177502,0.0047314716464219,7,train
2112.5633665650757,,0.0,0.0,0.8063142160792927,0.251953271326128,0.8616036288030855,0.004040008003357798,0.8616036288030855,0.682105187531356,0.004040008003357798,8,train
2104.5397186279297,,0.4001439168204155,0.401147640508788,0.807433533668518,0.28416510125001276,,,,,,9,valid
2110.1940113109545,,0.0,0.0,0.8197653980045526,0.27059002485904066,0.8487947308100187,0.003427004371769726,0.8487947308100187,0.6833732580090617,0.003427004371769726,9,train
2107.01851444454,,0.0,0.0,0.8316741832010038,0.2886031981352921,0.8337617844015688,0.002952634065877646,0.8337617844015688,0.6982906683460697,0.002952634065877646,10,train
2102.1117010430976,,0.0,0.0,0.8428093408490276,0.2971218398639134,0.8252230718895629,0.0026481655212895324,0.8252230718895629,0.6964830251840445,0.0026481655212895324,11,train
2100.118897825807,,0.0,0.0,0.8492177722218274,0.3087280847214081,0.8164956471422217,0.0022762346314266326,0.8164956471422217,0.6932708889573485,0.0022762346314266326,12,train
2096.1671397450204,,0.0,0.0,0.8574535893869926,0.30997723995984255,0.8076316655337156,0.0020557100030904013,0.8076316655337156,0.7038093137217092,0.0020557100030904013,13,train
2094.140111231542,,0.0,0.0,0.8627566585173974,0.3107056041340251,0.8003163226358183,0.0018197414892104765,0.8003163226358183,0.7019432684877417,0.0018197414892104765,14,train
2091.137732872596,,0.0,0.0,0.8667229019678556,0.32013988298374224,0.7999365480391534,0.001572666687813277,0.7999365480391534,0.7030129124830057,0.001572666687813277,15,train
2087.8964173033996,,0.0,0.0,0.8729765696839972,0.32483629368163736,0.7934932237143045,0.0013951963259993742,0.7934932237143045,0.7046397308726887,0.0013951963259993742,16,train
2085.630576332847,,0.0,0.0,0.8747564436315178,0.3265163686249282,0.7845617257631742,0.0012298256255841504,0.7845617257631742,0.710761940741277,0.0012298256255841504,17,train
2083.6102040049796,,0.0,0.0,0.8773052119946742,0.3332408616831014,0.7818445419217204,0.0011276720508855457,0.7818445419217204,0.7065717230786334,0.0011276720508855457,18,train
2077.417958577474,,0.42553561320739924,0.42682519970403093,0.8709965010484061,0.32405634472767514,,,,,,19,valid
2080.66841008113,,0.0,0.0,0.8799010620012389,0.33794049731977693,0.7899358541100889,0.0010247981204884126,0.7899358541100889,0.7028135152963492,0.0010247981204884126,19,train
2078.5348463792066,,0.0,0.0,0.8816928305468716,0.3369637537788559,0.7814704854409773,0.0008886559216383223,0.7814704854409773,0.7129475769105849,0.0008886559216383223,20,train
2076.303969833877,,0.0,0.0,0.8824990176892541,0.3390179082587525,0.7809918156036963,0.0007964076066855341,0.7809918156036963,0.7090902714938908,0.0007964076066855341,21,train
2074.224838759873,,0.0,0.0,0.8845939439731639,0.3409230803395366,0.7756462306766719,0.0007479740510461852,0.7756462306766719,0.7139844855109414,0.0007479740510461852,22,train
2072.0018511761677,,0.0,0.0,0.8854028252454905,0.34591646626755435,0.7705709613286532,0.0006778954528272152,0.7705709613286532,0.7108158501949939,0.0006778954528272152,23,train
2070.237610533997,,0.0,0.0,0.8870120501780249,0.34898546213632103,0.7697374296712352,0.0006298830383457243,0.7697374296712352,0.7141794437890524,0.0006298830383457243,24,train
2067.5489837311125,,0.0,0.0,0.8864377709535451,0.3527647924947215,0.7634621138101095,0.0005728790885768831,0.7634621138101095,0.7208101002724616,0.0005728790885768831,25,train
2065.3431248926854,,0.0,0.0,0.888471861724015,0.35352474673763734,0.7527302988282927,0.0005053302932841083,0.7527302988282927,0.7197779017490346,0.0005053302932841083,26,train
2063.3123323209993,,0.0,0.0,0.8878593418624375,0.358504451762189,0.7458722512800615,0.0004690392617097435,0.7458722512800615,0.7261154841590713,0.0004690392617097435,27,train
2062.1475427648525,,0.0,0.0,0.8896295700754439,0.36113309768530033,0.741864976647136,0.0004617801634594798,0.741864976647136,0.730110587654533,0.0004617801634594798,28,train
2057.3413441975913,,0.4285069237341717,0.43053738803947317,0.8795244519909223,0.34005988488594685,,,,,,29,valid
2059.8306428678743,,0.0,0.0,0.8886494001189431,0.3655943190658486,0.7435123461943406,0.0004284736205590889,0.7435123461943406,0.7257597885289035,0.0004284736205590889,29,train
